Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,0.005923696979828646,1.2687780655971892,1.3326739155810718,0.9984038308060654,0.7715123859191656,0.7537142857142857
2,0.005753917427806857,1.2213077984971885,1.2426862024349166,0.9982898187207844,0.7594524119947849,0.7485714285714286
3,0.00864795469924386,1.3022006002654034,1.3671011446409573,0.9990879033177517,0.7705345501955672,0.7522857142857143
4,0.03395761412334924,1.2841548086580588,1.3136819092722687,0.9904229848363927,0.7643415906127771,0.754
5,0.01508914384533062,1.2722702362804437,1.3565774827038861,0.9964656253562878,0.7679269882659713,0.748
6,0.01104678796710009,1.294482183813822,1.311968241125073,0.9977197582943792,0.7627118644067796,0.7497142857142857
7,0.005967700836641889,1.2569377320213941,1.2769000818570182,0.9985178428913465,0.7672750977835724,0.7625714285714286
8,0.01100284352563082,1.266596258424708,1.3130780844417609,0.9969216736974119,0.7509778357235984,0.7497142857142857
9,0.005055471271491599,1.2446749952154523,1.2793702348666989,0.9987458670619086,0.7731421121251629,0.7617142857142857
10,0.003317006990572072,1.2895568302820568,1.3680622721660762,0.9994299395735948,0.7705345501955672,0.7525714285714286
11,0.0051090905226158796,1.2651076172492708,1.3282029482293618,0.9987458670619086,0.7747718383311604,0.7582857142857143
12,0.0021399516225853827,1.2531005015843562,1.3283745047368416,0.9996579637441568,0.7754237288135594,0.7502857142857143
13,0.0013991160540967318,1.2653560475501138,1.329723958929652,0.9997719758294379,0.7757496740547588,0.7648571428571429
14,0.0011340970300684793,1.2413497448930002,1.2939039661493748,0.9997719758294379,0.7780312907431551,0.7637142857142857
15,0.0012539785609669955,1.2124195399557038,1.283734071132255,0.9998859879147189,0.7783572359843546,0.7654285714285715
16,0.0030003617482903784,1.3005035710643067,1.3101202998157233,0.9994299395735948,0.7636897001303781,0.7665714285714286
17,0.0009173756158778002,1.239544917436395,1.2699186810925942,1.0,0.7659713168187744,0.7694285714285715
18,0.000730847592702724,1.2728551700777377,1.285338502173146,1.0,0.7708604954367666,0.7691428571428571
19,0.0008516310571674542,1.2652914084857798,1.316357160505911,0.9998859879147189,0.772490221642764,0.758
20,0.0005086359768166571,1.2289803246537,1.3038241689063643,1.0,0.7747718383311604,0.7628571428571429
21,0.0004581284179478367,1.2530686487102496,1.2949624107767865,1.0,0.7728161668839635,0.7602857142857142
22,0.0005522186563853137,1.2800098086011833,1.3514088927746908,0.9998859879147189,0.7786831812255541,0.7588571428571429
23,0.001162849239277646,1.2709971534727629,1.3340986660048026,0.9998859879147189,0.7731421121251629,0.7585714285714286
24,0.013428501860453551,1.2988863667152184,1.3604424509759907,0.9963516132710067,0.765645371577575,0.7557142857142857
25,0.005207391788717492,1.3574548002369131,1.3969763380275468,0.9993159274883138,0.7594524119947849,0.7502857142857143
26,0.001984485851159093,1.2933515544807601,1.388266948379202,0.9997719758294379,0.7741199478487614,0.7585714285714286
27,0.0019009446562968267,1.2965322563295179,1.363993958506274,0.9996579637441568,0.7721642764015645,0.7574285714285715
28,0.001450026278598505,1.342457872473858,1.363216455825966,0.9998859879147189,0.7692307692307693,0.7531428571428571
29,0.0013112024323357323,1.3392834601383707,1.4137889174787013,0.9996579637441568,0.7711864406779662,0.7545714285714286
30,0.0009374962350158739,1.310243796461546,1.3573302624993808,1.0,0.7689048239895697,0.7611428571428571
31,0.0007304667823579151,1.3182550605473047,1.3481559781485224,0.9998859879147189,0.7734680573663625,0.76
32,0.0012491320570177425,1.2757894936523446,1.3359301690199332,0.9996579637441568,0.7764015645371578,0.7582857142857143
33,0.000575658089699321,1.2853370999996514,1.3486705139007198,1.0,0.7767275097783573,0.7617142857142857
